Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",1206,4,4.7uF,
"C10, C11, C12, C13, C6, C7, C9",0603,7,0.1uF,
"C18, C23",0603,2,100nf,
"C21, C22",0603,2,10uf,
"C25, C26, C27",0805,3,22uf,
C5,0603,1,0.047uF,
C8,1206,1,10uF,
D1,SMA_L4.3-W2.7-LS5.1-RD,1,D_Schottky,C908680
D2,0603,1,LED,
D4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J5,USB-C-SMD_MC-311D,1,MC-311D,C136423
L1,L1008,1,2.2uH,
L2,IND-SMD_L7.2-W6.6_GPSR07X0,1,10uH,C5189958
"Q2, Q4",SOT-23,2,MMBT2222A,
"Q3, Q5",SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,2,FZT853TA,C435890
R1,0603,1,250k,
"R10, R14, R3",0603,3,10k,
"R11, R9",0603,2,5.1k,
"R13, R19",0603,2,14,
R15,0603,1,1M,
R16,0603,1,180k,
"R17, R18",0603,2,1K,
R2,0603,1,330,
R6,0603,1,75k,
R7,0603,1,2k,
"SW1, SW3",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,1,ESP32-C3-WROOM-02-N4,C2934560
U2,VQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,TPS55340RTER,C169167
U5,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,1,TPS63020DSJR,C15483
